name,essround,edition,proddate,idno,cntry,dweight,pspwght,pweight,trstprl,trstlgl,trstplc,trstplt,trstprt,trstep,trstun,vote,sclmeet,sclact,hhmmb,gndr,yrbrn,agea,eisced,edulvlb,crpdwk,hincfel,ipcrtiv,imprich,ipeqopt,ipshabt,impsafe,impdiff,ipfrule,ipudrst,ipmodst,ipgdtim,impfree,iphlppl,ipsuces,ipstrgv,ipadvnt,ipbhprp,iprspot,iplylfr,impenv,imptrad,impfun
ESS9e03_1,9,3.1,17.02.2021,9,DE,0.9994662404060364,1.275009036064148,3.0373449325561523,2,4,5,0,2,3,0,2,7,3,2,2,1992,26,3,322,6,2,3,5,2,5,2,2,3,3,3,3,2,2,5,3,4,5,5,3,2,5,3
ESS9e03_1,9,3.1,17.02.2021,10,DE,0.9994662404060364,0.8540229201316833,3.0373449325561523,7,8,8,6,6,4,5,1,4,3,2,2,1953,65,3,321,2,2,3,6,2,5,1,3,3,2,4,3,2,1,5,1,6,3,5,1,1,4,5
ESS9e03_1,9,3.1,17.02.2021,64,DE,0.9994662404060364,0.7596949338912964,3.0373449325561523,3,5,6,3,5,5,6,1,4,4,2,2,1944,74,5,422,6,3,1,6,2,2,5,1,6,2,4,1,1,1,1,3,5,5,4,1,1,1,1
ESS9e03_1,9,3.1,17.02.2021,65,DE,0.9994662404060364,1.0794105529785156,3.0373449325561523,3,4,4,3,3,2,2,1,4,2,2,1,1954,64,3,322,2,2,2,5,2,3,4,5,5,2,2,2,2,2,4,2,5,3,2,2,2,3,2
ESS9e03_1,9,3.1,17.02.2021,91,DE,0.9994662404060364,1.2697876691818237,3.0373449325561523,4,5,7,5,5,4,5,1,5,3,2,2,1965,54,88,8888,6,2,2,5,2,2,5,4,6,2,3,2,2,4,2,4,3,5,6,2,2,5,4
ESS9e03_1,9,3.1,17.02.2021,119,DE,0.9994662404060364,1.275009036064148,3.0373449325561523,9,7,7,8,8,10,10,1,6,2,4,2,1998,20,4,313,2,2,3,3,1,3,2,2,2,1,2,3,3,1,1,1,3,4,3,1,1,1,2
ESS9e03_1,9,3.1,17.02.2021,150,DE,0.9994662404060364,0.942275881767273,3.0373449325561523,10,10,10,10,4,10,10,1,4,4,1,2,1947,71,3,321,2,1,2,5,3,4,1,3,3,3,3,3,3,2,4,2,6,5,1,1,1,1,3
ESS9e03_1,9,3.1,17.02.2021,212,DE,0.9994662404060364,1.4220027923583984,3.0373449325561523,5,7,7,5,5,6,6,1,5,3,5,1,1977,41,5,422,6,2,2,4,2,2,2,4,3,2,3,2,2,3,3,4,4,3,3,2,2,2,2
ESS9e03_1,9,3.1,17.02.2021,255,DE,0.9994662404060364,1.2261273860931396,3.0373449325561523,5,8,9,5,5,3,7,1,5,2,1,1,1956,62,5,422,6,2,2,5,2,4,4,1,4,2,3,2,1,2,4,2,3,5,4,1,2,3,4
ESS9e03_1,9,3.1,17.02.2021,270,DE,0.9994662404060364,0.9783135652542114,3.0373449325561523,7,8,8,6,6,7,7,1,7,4,1,1,1953,65,3,322,2,2,1,4,5,5,2,5,2,2,2,4,2,2,5,2,5,2,5,2,2,1,4
ESS9e03_1,9,3.1,17.02.2021,279,DE,0.9994662404060364,1.0877866744995117,3.0373449325561523,88,5,7,3,1,3,88,1,6,4,1,2,1951,67,88,8888,2,1,4,5,5,5,5,5,3,3,2,4,2,2,2,2,4,3,3,3,2,3,3
ESS9e03_1,9,3.1,17.02.2021,304,DE,0.9994662404060364,0.9841160774230957,3.0373449325561523,6,9,9,5,5,5,7,1,5,1,4,2,1971,47,3,321,6,1,5,5,3,2,2,4,3,3,3,4,2,2,3,2,6,2,2,1,1,4,5
ESS9e03_1,9,3.1,17.02.2021,311,DE,0.9994662404060364,0.5348687767982483,3.0373449325561523,6,7,7,6,3,5,5,1,3,8,2,1,1952,67,6,610,2,2,1,5,2,5,2,5,5,3,3,3,1,3,5,3,6,4,6,3,2,4,4
ESS9e03_1,9,3.1,17.02.2021,318,DE,0.9994662404060364,0.893721342086792,3.0373449325561523,8,9,8,7,7,7,7,1,5,3,2,1,1970,48,7,720,6,1,2,4,2,5,3,3,5,3,2,3,3,3,2,2,4,3,2,2,1,2,5
ESS9e03_1,9,3.1,17.02.2021,372,DE,0.9994662404060364,0.9783135652542114,3.0373449325561523,9,10,10,8,9,8,8,1,5,4,2,1,1949,69,3,322,2,1,1,5,1,3,3,5,4,2,4,3,3,2,5,6,6,5,5,1,1,1,4
ESS9e03_1,9,3.1,17.02.2021,385,DE,0.9994662404060364,0.5446975827217102,3.0373449325561523,6,8,7,6,4,6,6,1,4,2,2,2,1958,60,7,720,2,1,3,4,1,4,5,4,4,3,3,3,1,1,3,2,2,3,2,2,3,5,5
ESS9e03_1,9,3.1,17.02.2021,451,DE,0.9994662404060364,0.6756071448326111,3.0373449325561523,8,9,9,4,3,4,5,1,2,1,2,2,1954,64,5,520,2,1,3,6,1,5,5,5,2,3,3,1,1,1,3,1,5,3,1,2,1,3,2
ESS9e03_1,9,3.1,17.02.2021,458,DE,0.9994662404060364,2.612596273422241,3.0373449325561523,8,10,10,8,8,10,10,2,3,2,5,2,1975,44,1,0,2,3,4,5,2,5,2,4,2,2,2,5,4,2,4,2,6,3,4,1,3,3,5
ESS9e03_1,9,3.1,17.02.2021,476,DE,0.9994662404060364,0.7760168313980103,3.0373449325561523,5,5,5,5,5,5,5,1,4,4,2,1,1967,51,5,520,6,1,2,5,2,3,2,2,2,2,2,2,2,3,2,2,3,2,3,2,2,2,2
ESS9e03_1,9,3.1,17.02.2021,506,DE,0.9994662404060364,0.8983613848686218,3.0373449325561523,5,5,8,0,0,5,5,1,6,2,2,2,1944,74,3,322,2,1,5,5,2,4,3,5,5,2,3,3,2,3,4,4,5,5,4,2,3,5,3
ESS9e03_1,9,3.1,17.02.2021,515,DE,0.9994662404060364,0.5446975827217102,3.0373449325561523,8,7,8,6,6,7,7,1,4,3,3,2,1952,66,5,520,2,1,3,5,4,5,2,3,4,3,3,2,2,3,5,2,4,2,5,2,2,3,3
ESS9e03_1,9,3.1,17.02.2021,533,DE,0.9994662404060364,1.1190791130065918,3.0373449325561523,0,2,7,0,2,0,3,2,5,3,3,1,1975,44,3,322,6,2,1,4,1,2,1,2,4,2,1,2,1,1,3,1,4,1,1,1,1,1,4
ESS9e03_1,9,3.1,17.02.2021,564,DE,0.9994662404060364,1.1023201942443848,3.0373449325561523,2,2,8,88,2,3,4,1,2,3,2,2,1942,76,3,321,2,1,3,4,2,4,2,4,3,2,2,4,3,1,4,2,6,3,4,1,2,2,5
ESS9e03_1,9,3.1,17.02.2021,570,DE,0.9994662404060364,1.242360234260559,3.0373449325561523,5,2,2,4,4,5,5,1,4,1,1,2,1993,26,1,113,6,1,2,5,2,3,1,3,2,2,2,1,1,6,4,2,3,3,4,3,1,5,1
ESS9e03_1,9,3.1,17.02.2021,589,DE,0.9994662404060364,1.2460983991622925,3.0373449325561523,5,3,6,2,2,3,88,1,6,1,2,1,1939,79,3,322,2,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
ESS9e03_1,9,3.1,17.02.2021,621,DE,0.9994662404060364,0.6746630668640137,3.0373449325561523,4,3,7,5,3,4,1,1,7,4,2,1,1992,26,6,620,6,1,3,2,2,3,4,5,6,2,3,2,1,3,2,5,2,5,3,2,3,6,3
ESS9e03_1,9,3.1,17.02.2021,636,DE,0.9994662404060364,0.6030320525169373,3.0373449325561523,5,6,6,88,2,3,5,1,5,4,2,2,1950,68,7,720,2,2,2,5,1,5,4,3,5,2,2,2,1,2,4,2,2,4,5,2,2,2,5
ESS9e03_1,9,3.1,17.02.2021,641,DE,0.9994662404060364,0.7808356285095215,3.0373449325561523,7,8,7,6,6,7,8,1,4,3,3,2,1988,31,6,620,2,2,3,3,2,4,2,3,4,2,3,2,2,2,4,2,5,2,3,2,2,4,4
